2019-07-30 12:56:22,993 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-07-30 12:56:23,135 [    142]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-192.5728.105, 23 Jul 2019 17:00) 
2019-07-30 12:56:23,149 [    156]   INFO -        #com.intellij.idea.Main - OS: Windows Server 2016 (10.0, amd64) 
2019-07-30 12:56:23,149 [    156]   INFO -        #com.intellij.idea.Main - JRE: 11.0.3+12-b304.10 (JetBrains s.r.o) 
2019-07-30 12:56:23,150 [    157]   INFO -        #com.intellij.idea.Main - JVM: 11.0.3+12-b304.10 (OpenJDK 64-Bit Server VM) 
2019-07-30 12:56:23,150 [    157]   INFO -        #com.intellij.idea.Main - JVM Args: exit -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -XX:CICompilerCount=2 -Dsun.io.useCanonPrefixCache=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djdk.attach.allowAttachSelf -Djb.vmOptionsFile=C:\Program Files (x86)\JetBrains\PyCharm Community Edition 2019.2\bin\pycharm64.exe.vmoptions -Djava.library.path=C:\Program Files (x86)\JetBrains\PyCharm Community Edition 2019.2\jbr\\bin;C:\Program Files (x86)\JetBrains\PyCharm Community Edition 2019.2\jbr\\bin\server -Didea.platform.prefix=PyCharmCore -Dide.native.launcher=true -Didea.paths.selector=PyCharmCE2019.2 -XX:ErrorFile=C:\Users\ImageBuilderAdmin\java_error_in_pycharm_%p.log -XX:HeapDumpPath=C:\Users\ImageBuilderAdmin\java_error_in_pycharm.hprof 
2019-07-30 12:56:23,153 [    160]   INFO -        #com.intellij.idea.Main - charsets: JNU=Cp1252 file=Cp1252 
2019-07-30 12:56:23,223 [    230]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 212 ms 
2019-07-30 12:56:23,230 [    237]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2019-07-30 12:56:24,030 [   1037]   INFO - tellij.diagnostic.LoadingPhase - Reached SPLASH loading phase 
2019-07-30 12:56:24,143 [   1150]   INFO - plication.impl.ApplicationImpl - CPU cores: 2; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@5bb7aa6d[Running, parallelism = 2, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@1e56947d 
2019-07-30 12:56:28,472 [   5479]   INFO - llij.ide.plugins.PluginManager - Plugin 'Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-07-30 12:56:28,534 [   5541]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (192.5728.105), EditorConfig (192.5728.105), Git (192.5728.105), GitHub (192.5728.105), IDEA CORE (192.5728.105), IntelliLang (192.5728.105), Mercurial (192.5728.105), Properties (192.5728.105), Python Copyright (192.5728.105), Python IntelliLang (192.5728.105), Python ReStructureText Integration (192.5728.105), Python Terminal (192.5728.105), ReStructuredText Support (192.5728.105), Settings Repository (192.5728.105), Shell Script (192.5728.105), Subversion (192.5728.105), Task Management (192.5728.105), Terminal (192.5728.105), TextMate bundles (192.5728.105), YAML (192.5728.105) 
2019-07-30 12:56:28,534 [   5541]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: Configuration Script (192.5728.105) 
2019-07-30 12:56:34,603 [  11610]   INFO - tellij.diagnostic.LoadingPhase - Reached CONFIGURATION_STORE_INITIALIZED loading phase 
2019-07-30 12:56:34,944 [  11951]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\ImageBuilderAdmin\.PyCharmCE2019.2\system\caches\names.dat' does not exist 
2019-07-30 12:56:34,948 [  11955]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=713 
2019-07-30 12:56:35,047 [  12054]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Program Files (x86)\JetBrains\PyCharm Community Edition 2019.2\bin\fsnotifier64.exe 
2019-07-30 12:56:35,125 [  12132]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-07-30 12:56:38,874 [  15881]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-07-30 12:56:38,874 [  15881]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-07-30 12:56:39,969 [  16976]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-07-30 12:56:40,064 [  17071]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-07-30 12:56:41,573 [  18580]   INFO - il.indexing.FileBasedIndexImpl - File index extensions iterated:1282 
2019-07-30 12:56:42,734 [  19741]   INFO - j.ide.ui.OptionsTopHitProvider - 415 ms spent to cache options in application 
2019-07-30 12:56:43,034 [  20041]   INFO - tellij.diagnostic.LoadingPhase - Reached FRAME_SHOWN loading phase 
2019-07-30 12:56:49,928 [  26935]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=13, fontScale=1.0; restored: fontSize=13, fontScale=1.0 
2019-07-30 12:56:52,981 [  29988]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from C:\Users\ImageBuilderAdmin\.PyCharmCE2019.2\system\index\.persistent\prebuilt\Python\id-index.input 
2019-07-30 12:56:53,942 [  30949]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Python,Properties,XML,PythonStub,HTML 
2019-07-30 12:56:55,049 [  32056]   INFO - pl$FileIndexDataInitialization - Initialization done:14757 
2019-07-30 12:56:55,250 [  32257]   INFO - exImpl$StubIndexInitialization - Initialization done:201 
2019-07-30 12:57:03,093 [  40100]   INFO - rationStore.ComponentStoreImpl - Saving appTextMateSettings took 12 ms 
2019-07-30 12:57:03,375 [  40382]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-07-30 12:57:03,377 [  40384]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-07-30 12:57:03,378 [  40385]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-07-30 12:57:03,426 [  40433]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-07-30 12:57:03,430 [  40437]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-07-30 12:57:03,437 [  40444]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-07-30 12:57:03,540 [  40547]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-07-30 12:57:03,541 [  40548]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-07-30 12:57:03,557 [  40564]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-07-30 12:57:03,560 [  40567]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-07-30 12:57:03,561 [  40568]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
