2019-05-16 13:28:06,233 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-16 13:28:06,306 [     73]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PE-191.6707.81, 29 Apr 2019 09:50) 
2019-05-16 13:28:06,306 [     73]   INFO -        #com.intellij.idea.Main - OS: Windows Server 2012 R2 (6.3, amd64) 
2019-05-16 13:28:06,306 [     73]   INFO -        #com.intellij.idea.Main - JRE: 11.0.2+9-b159.46 (JetBrains s.r.o) 
2019-05-16 13:28:06,306 [     73]   INFO -        #com.intellij.idea.Main - JVM: 11.0.2+9-b159.46 (OpenJDK 64-Bit Server VM) 
2019-05-16 13:28:06,307 [     74]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djb.vmOptionsFile=C:\Program Files (x86)\JetBrains\PyCharm Edu 2019.1\bin\pycharm64.exe.vmoptions -Didea.platform.prefix=PyCharmEdu -Dide.native.launcher=true -Didea.paths.selector=PyCharmEdu2019.1 -XX:ErrorFile=C:\Users\ImageBuilderAdmin\java_error_in_pycharm_%p.log -XX:HeapDumpPath=C:\Users\ImageBuilderAdmin\java_error_in_pycharm.hprof 
2019-05-16 13:28:06,307 [     74]   INFO -        #com.intellij.idea.Main - charsets: JNU=Cp1252 file=Cp1252 
2019-05-16 13:28:06,415 [    182]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 108 ms 
2019-05-16 13:28:06,422 [    189]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2019-05-16 13:28:07,010 [    777]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-16 13:28:08,448 [   2215]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-05-16 13:28:32,007 [  25774]   INFO - .intellij.idea.IdeaApplication - CPU cores: 2; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@2fd46be8[Running, parallelism = 2, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@8341a98 
2019-05-16 13:28:34,749 [  28516]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 2062 ms 
2019-05-16 13:28:34,822 [  28589]   INFO - llij.ide.plugins.PluginManager - 8 plugins initialized in 2134 ms 
2019-05-16 13:28:34,822 [  28589]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: EduTools (2.5-2019.1-1540), Git Integration (191.6707.81), GitHub (191.6707.81), IDEA CORE (191.6707.81), Mercurial Integration (191.6707.81), Python Terminal (191.6707.81), Subversion (191.6707.81), Terminal (191.6707.81) 
2019-05-16 13:28:38,577 [  32344]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\ImageBuilderAdmin\.PyCharmEdu2019.1\system\caches\names.dat' does not exist 
2019-05-16 13:28:38,582 [  32349]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=713 
2019-05-16 13:28:38,671 [  32438]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Program Files (x86)\JetBrains\PyCharm Edu 2019.1\bin\fsnotifier64.exe 
2019-05-16 13:28:38,708 [  32475]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-05-16 13:28:42,153 [  35920]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2019-05-16 13:28:42,153 [  35920]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2019-05-16 13:28:43,217 [  36984]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-05-16 13:28:43,396 [  37163]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-05-16 13:28:43,478 [  37245]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-05-16 13:28:44,606 [  38373]   INFO - j.ide.ui.OptionsTopHitProvider - 1935 ms spent to cache options in application 
2019-05-16 13:28:44,606 [  38373]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 1934 ms 
2019-05-16 13:28:44,677 [  38444]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:1081, number of extensions:18 
2019-05-16 13:28:44,714 [  38481]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:36 
2019-05-16 13:28:44,790 [  38557]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-05-16 13:28:44,798 [  38565]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:75, number of extensions:9 
2019-05-16 13:28:44,799 [  38566]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:1 
2019-05-16 13:28:45,019 [  38786]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-05-16 13:28:45,148 [  38915]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-05-16 13:28:45,164 [  38931]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-05-16 13:28:45,256 [  39023]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-05-16 13:28:46,317 [  40084]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-05-16 13:28:47,010 [  40777]   INFO - plication.impl.ApplicationImpl - 71 application components initialized in 14329ms 
2019-05-16 13:28:53,036 [  46803]   INFO - .openapi.application.Preloader - com.intellij.openapi.actionSystem.impl.ActionPreloader took 8428 ms 
2019-05-16 13:28:53,153 [  46920]   INFO - ndex.PrebuiltIndexProviderBase - Using prebuilt id-index from C:\Users\ImageBuilderAdmin\.PyCharmEdu2019.1\system\index\.persistent\prebuilt\Python\id-index.input 
2019-05-16 13:28:53,163 [  46930]   INFO - .intellij.idea.IdeaApplication - App initialization took 50827 ms 
2019-05-16 13:28:53,326 [  47093]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-05-16 13:28:53,461 [  47228]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
2019-05-16 13:28:53,657 [  47424]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.search.SearchableOptionPreloader took 621 ms 
2019-05-16 13:28:54,246 [  48013]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:HTML,PythonStub,XML,Python 
2019-05-16 13:28:54,423 [  48190]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-05-16 13:28:54,449 [  48216]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
